tempo,chroma_mean,spectral_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,filename,label,cluster
[123.046875],0.58713967,3709.6716627907435,-146.63104,31.32111,28.569971,24.353025,12.915724,17.240757,2.6923716,6.7704587,-1.1257819,2.604944,0.38073462,3.4797235,-2.3674762,"Ebm - 4df2296d-31b0-486e-9aeb-538fe9a6fc1d - Love Klubb, Amanda Wilson - I Won-t Wait For You (Extended Klubb Mix).m4a",Favorites,2
[129.19921875],0.58269715,3354.097858573092,-104.275215,27.926304,10.5392475,23.588717,7.238991,23.13834,9.234111,13.085899,6.3200274,9.242916,2.219452,6.3647614,2.5648377,02 KEEP ON MOVING DISCO REMIX.m4a,Favorites,1
[123.046875],0.461288,2519.416374679911,-233.58089,42.756577,38.20596,29.836693,28.141037,26.439112,17.321938,21.831575,12.21157,16.06671,6.63764,4.561689,5.927915,24 Gospel (Super Flu's Antichrist Remix).mp3,Favorites,0
[123.046875],0.58387715,3384.9861107386228,-173.23254,45.491177,30.978104,18.679056,11.028872,19.46941,2.774796,6.9017096,3.2068925,5.0514946,-0.28122497,7.978721,0.44091052,CAndy Dealers come alive jay west .mp3,Favorites,1
[123.046875],0.5468895,2699.815269786688,-154.94495,60.287636,25.986597,20.713459,11.4522,15.566142,4.199818,7.4860916,1.2554306,3.5200098,1.8029258,1.6074266,-2.7726734,"Colette, Gettoblaster - Butterflies (Rubb Sound System Remix).mp3",Favorites,3
[123.046875],0.54970384,3418.769466043581,-113.13748,25.83266,17.191767,16.65505,4.091282,17.749966,0.40346676,7.075803,5.4800973,10.290894,1.5888537,2.8812158,-1.7875551,Voicemail (Original Mix) .mp3,Favorites,1
[123.046875],0.41836146,3472.8935551132154,-145.13832,47.52746,15.074441,15.949108,-3.6989617,2.6158917,-3.354917,2.0198452,-6.9992957,-1.9502324,-5.020766,0.7466135,-0.38368815,Greg Stainer - Back Home (Mix 1).mp3,Favorites,1
[129.19921875],0.4700211,3081.7808129740524,-74.71185,56.13418,-28.399734,20.680199,0.92985,3.9220946,-12.622015,2.6822097,-9.294023,-0.4407239,-11.045,-2.8857727,-4.11748,Mighty Dub Katz - Just Another Groove.mp3,Favorites,1
[123.046875],0.4726358,2807.679587142381,-185.04909,70.156845,42.65363,35.994884,19.795616,16.516151,-0.050343234,6.223634,-0.21733938,3.7093139,-6.8387237,-4.6694818,-9.8016,Juliet Fox - If You Feel.mp3,Favorites,3
[129.19921875],0.46646285,3025.7147604258766,-264.4806,56.84126,47.390854,31.4565,9.158297,21.078814,5.1630297,13.839404,0.29527915,4.1020865,-4.4746857,1.2476286,-3.838964,Peter Heller - Big Love (Club Mix)_soundcloud_42144616.mp3,Favorites,3
[123.046875],0.5802444,3140.7214750000876,-217.99248,39.81136,-4.700008,8.293823,-4.145272,11.460056,-6.90092,4.9155474,-1.6025685,3.4266946,-3.2079053,-1.5218408,-3.2806528,Lawnchair Generals - When i think (aroma).mp3,Favorites,1
[123.046875],0.5930799,3798.309092023999,-182.47098,21.413023,7.8074703,15.081801,4.2502637,10.869379,4.623493,6.2855635,-1.9463843,5.8794737,1.7378734,5.459759,1.2266322,Tom Special Interest - More & More (Original Mix).mp3,Favorites,2
[123.046875],0.6148631,3387.3147443499643,-89.719406,26.189846,3.1241615,17.460728,-1.0562892,12.427407,-5.707379,0.666331,-5.8769164,3.2998927,-1.900201,3.2005136,-1.7285919,"Abyss Deep Sound Lab, Norty Cotto - It-s Just Begun (Norty Cotto Club Remix).mp3",Favorites,1
